Breed Name,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Japanese Terrier,3,3,3,3,2,1,None,None,3,3,5,5,1,3,1,3
Kai Ken,5,3,3,3,1,1,Double,Medium,1,3,5,3,3,3,3,3
Karelian Bear Dog,3,1,3,3,3,2,Double,Medium,3,3,5,3,4,3,3,3
Keeshond,5,5,5,3,3,2,Double,Long,5,5,5,5,5,4,4,4
Kerry Blue Terrier,5,4,2,1,3,2,Wavy,Medium,3,3,5,3,3,4,4,4
Kishu Ken,5,3,3,3,1,1,Double,Short,5,3,3,3,3,3,1,5
Komondor,5,3,2,1,4,2,Corded,Long,3,3,5,3,4,3,3,3
Korean Jindo Dog,3,3,1,3,3,1,Double,Medium,1,3,3,1,3,3,3,3
Kromfohrlander,5,4,3,2,1,1,Wiry,Short,4,4,3,4,4,4,3,3
Kuvasz,5,3,3,3,2,2,Double,Medium,3,3,5,4,5,3,3,3
Labrador Retriever,5,5,5,4,2,2,Double,Short,5,5,3,5,5,5,3,4
Lagotto Romagnolo,5,3,5,1,2,2,Double,Medium,4,4,3,4,4,4,2,4
Lakeland Terrier,5,3,3,2,2,1,Wiry,Short,3,4,3,4,3,3,3,4
Lancashire Heeler,5,5,5,3,1,1,Double,Short,4,4,3,4,4,4,4,4
Lapponian Herder,5,3,3,3,2,2,Double,Short,3,3,4,4,4,4,4,4
Large Munsterlander,4,4,3,3,1,2,None,None,4,3,3,3,5,4,2,4
Leonberger,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4
Lhasa Apso,5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3
Löwchen,5,5,3,2,2,1,Wavy,Long,3,4,4,4,4,3,3,3
Maltese,5,3,3,1,4,1,Silky,Long,3,3,4,4,3,3,3,3
Manchester Terrier (Standard),5,4,3,2,2,1,Smooth,Short,3,4,4,4,4,4,4,3
Manchester Terrier (Toy),5,4,3,2,2,1,Smooth,Short,3,4,4,4,4,4,4,3
Mastiff,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3
Miniature American Shepherd,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5
Miniature Bull Terrier,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4
Miniature Pinscher,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5
Miniature Schnauzer,5,5,3,3,4,2,Wiry,Medium,3,4,4,5,5,3,5,4
Mountain Cur,3,3,3,3,3,1,Smooth,Short,1,5,5,3,5,5,5,5
Mudi,5,3,3,2,1,2,Curly,Medium,3,5,4,4,5,5,4,4
Neapolitan Mastiff,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3
Nederlandse Kooikerhondje,5,3,3,3,2,2,Double,Medium,4,3,3,4,5,4,3,4
Newfoundland,5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3
Norfolk Terrier,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4
Norrbottenspets,5,3,3,3,2,1,Double,Short,3,3,3,4,4,4,3,3
Norwegian Buhund,5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4
Norwegian Elkhound,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4
Norwegian Lundehund,5,3,3,3,2,1,Double,Short,3,3,3,3,3,3,4,3
Norwich Terrier,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4
Nova Scotia Duck Tolling Retriever,5,5,4,3,2,2,Double,Medium,3,5,3,4,5,5,2,4
Old English Sheepdog,5,5,3,3,4,3,Double,Long,3,4,4,4,4,3,3,4
Otterhound,5,3,3,2,2,3,Rough,Medium,4,3,3,4,4,3,5,3
Papillon,5,5,3,3,2,1,Silky,Medium,5,5,4,5,5,4,5,5
Parson Russell Terrier,5,3,5,2,2,1,Smooth,Short,3,4,3,4,4,5,3,4
Pekingese,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3
Pembroke Welsh Corgi,5,3,4,4,2,1,Double,Short,4,4,5,4,4,4,4,4
Peruvian Inca Orchid,5,3,3,1,1,1,Hairless,Short,3,3,3,3,3,4,3,4
Petit Basset Griffon Vendéen,4,5,5,2,2,2,Rough,Long,4,4,4,4,3,4,5,4
Pharaoh Hound,5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4
Plott Hound,5,3,5,2,1,2,Smooth,Short,4,3,4,4,4,4,4,3
Pointer,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4
Polish Lowland Sheepdog,5,3,3,2,4,2,Double,Long,3,4,5,5,4,3,4,4
Pomeranian,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3
Pont-Audemer Spaniel,5,4,5,3,3,1,None,Medium,3,4,1,5,4,3,1,3
Poodle (Miniature),5,5,3,1,4,1,Curly,Long,5,5,3,4,5,4,4,5
Poodle (Standard),5,5,3,1,4,1,Curly,Long,5,5,5,4,5,4,4,5
Poodle (Toy),5,5,3,1,4,1,Curly,Long,5,5,3,4,5,4,4,5
Porcelaine,5,5,5,3,1,3,Smooth,Short,5,5,3,4,5,4,2,4
Portuguese Podengo,5,5,5,3,2,1,Wiry,Medium,3,4,3,4,3,4,3,4
Portuguese Podengo Pequeno,5,5,5,3,2,1,Wiry,Short,3,4,3,4,3,4,3,4
Portuguese Pointer,5,5,3,3,1,2,Smooth,Short,4,4,3,4,5,5,3,5
Portuguese Sheepdog,5,3,3,2,2,2,Wavy,Long,3,3,5,4,5,4,3,4
Portuguese Water Dog,5,5,4,2,4,2,Curly,Long,4,5,4,5,5,5,3,5
Presa Canario,2,1,1,3,1,4,Smooth,Short,1,1,5,2,3,2,3,3
Pudelpointer,5,3,3,3,1,3,Wiry,Short,3,3,3,5,5,4,3,4
Pug,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3
Puli,5,3,3,1,5,2,Corded,Long,3,3,5,4,5,3,3,5
Pumi,5,3,3,1,2,2,Curly,Medium,3,4,4,4,5,5,3,5
Pyrenean Mastiff,4,4,4,4,3,5,Double,Medium,3,3,5,3,2,2,4,2
Pyrenean Shepherd,5,3,3,3,2,2,Smooth,Medium,3,5,5,4,5,5,4,5
Rafeiro do Alentejo,5,3,3,3,2,3,Double,Short,3,3,5,5,5,3,2,3
Rat Terrier,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5
Redbone Coonhound,5,5,5,3,2,3,Smooth,Short,3,3,3,4,3,3,4,4
Rhodesian Ridgeback,5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4
Romanian Carpathian Shepherd,3,4,3,3,2,1,None,None,3,3,5,3,1,2,3,5
Romanian Mioritic Shepherd Dog,5,5,3,2,2,3,Double,Medium,1,3,5,3,3,3,1,3
Rottweiler,5,3,3,3,1,3,Smooth,Short,3,4,5,4,5,3,1,5
Russell Terrier,5,3,5,3,2,1,Wiry,Short,5,5,4,4,3,5,4,5
Russian Toy,5,3,3,3,2,1,Double,Short,3,4,4,4,4,3,4,3
Russian Tsvetnaya Bolonka,5,5,5,3,3,1,Wavy,Medium,3,3,1,5,5,3,1,1
Saint Bernard,5,5,3,3,2,5,Smooth,Short,3,3,5,4,3,3,1,3
Saluki,5,3,3,2,1,1,Smooth,Short,3,3,1,3,3,4,3,5
Samoyed,5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4
Schapendoes,5,3,5,2,3,2,Double,Long,3,4,5,4,5,4,3,4
Schipperke,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3
Scottish Deerhound,5,3,5,3,1,1,Wiry,Medium,3,3,3,3,3,3,1,3
Scottish Terrier,5,3,2,2,3,2,Wiry,Medium,3,4,5,4,3,3,4,4
Sealyham Terrier,5,3,3,3,3,1,Wiry,Medium,4,3,5,4,4,3,4,4
Segugio Italiano,3,5,5,3,1,1,None,None,1,1,5,3,5,3,3,1
Shetland Sheepdog,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4
Shiba Inu,5,3,3,3,2,1,Double,Short,3,3,5,3,2,3,3,4
Shih Tzu,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3
Shikoku,3,3,3,3,3,1,Double,Short,3,3,3,3,3,3,3,3
Siberian Husky,5,5,5,4,2,1,Double,Medium,5,5,1,4,3,5,5,4
Silky Terrier,5,3,3,2,3,1,Silky,Long,4,4,5,4,4,3,4,3
Skye Terrier,5,3,3,3,3,1,Double,Long,3,3,3,3,3,3,3,3
Sloughi,4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3
Slovakian Wirehaired Pointer,5,3,4,2,1,2,Wiry,Short,3,3,3,3,5,4,3,3
Slovensky Cuvac,5,3,3,4,2,3,Double,Medium,2,3,5,3,3,3,1,3
Slovensky Kopov,5,3,4,3,1,2,Rough,Short,3,3,3,3,4,3,3,3
Small Munsterlander,5,4,3,3,1,2,Double,Medium,3,3,3,3,5,4,1,4
Smooth Fox Terrier,5,3,3,3,2,1,Smooth,Short,3,4,5,4,3,4,5,3
Soft Coated Wheaten Terrier,5,5,3,1,4,2,Wavy,Medium,3,3,3,3,3,4,3,3
